id,user,local,device,day,hour,type,model,value
"5a147bd037a0a30484f94fbf","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:33","corrente","sct-013","0.32"
"5a147bd537a0a30484f94fc0","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:38","corrente","sct-013","0.4"
"5a147bda37a0a30484f94fc1","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:43","corrente","sct-013","0.45"
"5a147bdf37a0a30484f94fc2","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:48","corrente","sct-013","0.31"
"5a147be437a0a30484f94fc3","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:54","corrente","sct-013","0.52"
"5a147bea37a0a30484f94fc4","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:27:59","corrente","sct-013","0.4"
"5a147bef37a0a30484f94fc5","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:04","corrente","sct-013","0.52"
"5a147bf437a0a30484f94fc6","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:09","corrente","sct-013","0.45"
"5a147bf937a0a30484f94fc7","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:14","corrente","sct-013","0.54"
"5a147bfe37a0a30484f94fc8","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:20","corrente","sct-013","0.31"
"5a147c0437a0a30484f94fc9","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:25","corrente","sct-013","0.3"
"5a147c0937a0a30484f94fca","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:30","corrente","sct-013","0.36"
"5a147c0e37a0a30484f94fcb","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:35","corrente","sct-013","0.36"
"5a147c1337a0a30484f94fcc","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:40","corrente","sct-013","0.41"
"5a147c1937a0a30484f94fcd","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:45","corrente","sct-013","0.51"
"5a147c1f37a0a30484f94fce","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:51","corrente","sct-013","0.33"
"5a147c2337a0a30484f94fcf","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:28:56","corrente","sct-013","0.56"
"5a147c2837a0a30484f94fd0","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:01","corrente","sct-013","0.55"
"5a147c2d37a0a30484f94fd1","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:07","corrente","sct-013","0.4"
"5a147c3337a0a30484f94fd2","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:12","corrente","sct-013","0.51"
"5a147c3837a0a30484f94fd3","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:17","corrente","sct-013","0.32"
"5a147c3d37a0a30484f94fd4","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:22","corrente","sct-013","0.43"
"5a147c4237a0a30484f94fd5","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:27","corrente","sct-013","0.46"
"5a147c4737a0a30484f94fd6","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:32","corrente","sct-013","0.57"
"5a147c4c37a0a30484f94fd7","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:37","corrente","sct-013","0.57"
"5a147c5137a0a30484f94fd8","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:42","corrente","sct-013","0.56"
"5a147c5637a0a30484f94fd9","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:48","corrente","sct-013","0.55"
"5a147c5c37a0a30484f94fda","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:53","corrente","sct-013","0.33"
"5a147c6137a0a30484f94fdb","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:29:58","corrente","sct-013","0.3"
"5a147c6637a0a30484f94fdc","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:30:03","corrente","sct-013","0.49"
